trial,workflow_length,failure_position,sagamind_restored,naive_restored,sagamind_residual_mutations,naive_residual_mutations
508,10,1,True,False,0,1
509,6,4,True,False,0,4
510,6,4,True,False,0,4
511,2,1,True,False,0,1
512,2,1,True,False,0,1
513,2,1,True,False,0,1
514,8,1,True,False,0,1
515,9,7,True,False,0,7
516,2,1,True,False,0,1
517,11,9,True,False,0,9
518,4,3,True,False,0,3
519,2,1,True,False,0,1
520,11,9,True,False,0,9
521,7,1,True,False,0,1
522,2,1,True,False,0,1
523,5,1,True,False,0,1
524,12,1,True,False,0,1
525,6,1,True,False,0,1
526,11,3,True,False,0,3
527,12,4,True,False,0,4
528,9,8,True,False,0,8
529,5,3,True,False,0,3
530,9,1,True,False,0,1
531,8,4,True,False,0,4
532,7,3,True,False,0,3
533,10,4,True,False,0,4
534,11,5,True,False,0,5
535,11,3,True,False,0,3
536,5,2,True,False,0,2
537,3,1,True,False,0,1
538,7,5,True,False,0,5
539,12,9,True,False,0,9
540,4,3,True,False,0,3
541,6,3,True,False,0,3
542,12,1,True,False,0,1
543,12,8,True,False,0,8
544,9,8,True,False,0,8
545,12,10,True,False,0,10
546,2,1,True,False,0,1
547,12,7,True,False,0,7
548,12,1,True,False,0,1
549,6,4,True,False,0,4
550,12,9,True,False,0,9
551,4,1,True,False,0,1
552,10,8,True,False,0,8
553,12,3,True,False,0,3
554,9,7,True,False,0,7
555,3,2,True,False,0,2
556,8,4,True,False,0,4
557,2,1,True,False,0,1
558,4,2,True,False,0,2
559,9,4,True,False,0,4
560,10,1,True,False,0,1
561,4,3,True,False,0,3
562,8,5,True,False,0,5
563,3,1,True,False,0,1
564,9,2,True,False,0,2
565,6,5,True,False,0,5
566,2,1,True,False,0,1
567,4,1,True,False,0,1
568,12,11,True,False,0,11
569,10,8,True,False,0,8
570,3,1,True,False,0,1
571,4,3,True,False,0,3
572,3,1,True,False,0,1
573,9,1,True,False,0,1
574,10,6,True,False,0,6
575,4,1,True,False,0,1
576,11,9,True,False,0,9
577,6,1,True,False,0,1
578,5,3,True,False,0,3
579,8,2,True,False,0,2
580,3,2,True,False,0,2
581,12,2,True,False,0,2
582,8,6,True,False,0,6
583,2,1,True,False,0,1
584,11,8,True,False,0,8
585,3,2,True,False,0,2
586,2,1,True,False,0,1
587,12,6,True,False,0,6
588,10,6,True,False,0,6
589,8,5,True,False,0,5
590,9,4,True,False,0,4
591,7,1,True,False,0,1
592,5,2,True,False,0,2
593,7,5,True,False,0,5
594,6,3,True,False,0,3
595,3,1,True,False,0,1
596,9,7,True,False,0,7
597,7,3,True,False,0,3
598,11,3,True,False,0,3
599,7,4,True,False,0,4
600,3,1,True,False,0,1
601,4,3,True,False,0,3
602,12,10,True,False,0,10
603,3,1,True,False,0,1
604,10,7,True,False,0,7
605,9,7,True,False,0,7
606,7,2,True,False,0,2
607,9,7,True,False,0,7
608,9,6,True,False,0,6
609,2,1,True,False,0,1
610,6,1,True,False,0,1
611,11,7,True,False,0,7
612,9,7,True,False,0,7
613,2,1,True,False,0,1
614,7,4,True,False,0,4
615,5,3,True,False,0,3
616,11,3,True,False,0,3
617,8,4,True,False,0,4
618,3,1,True,False,0,1
619,9,5,True,False,0,5
620,2,1,True,False,0,1
621,11,9,True,False,0,9
622,9,1,True,False,0,1
623,8,1,True,False,0,1
624,4,3,True,False,0,3
625,9,8,True,False,0,8
626,3,1,True,False,0,1
627,11,4,True,False,0,4
628,9,7,True,False,0,7
629,11,9,True,False,0,9
630,7,2,True,False,0,2
631,12,3,True,False,0,3
632,12,5,True,False,0,5
633,4,2,True,False,0,2
634,5,2,True,False,0,2
635,4,3,True,False,0,3
636,5,1,True,False,0,1
637,11,10,True,False,0,10
638,12,3,True,False,0,3
639,3,1,True,False,0,1
640,10,7,True,False,0,7
641,5,4,True,False,0,4
642,5,4,True,False,0,4
643,2,1,True,False,0,1
644,2,1,True,False,0,1
645,2,1,True,False,0,1
646,11,10,True,False,0,10
647,7,1,True,False,0,1
648,2,1,True,False,0,1
649,3,2,True,False,0,2
650,3,2,True,False,0,2
651,9,3,True,False,0,3
652,9,3,True,False,0,3
653,6,4,True,False,0,4
654,6,2,True,False,0,2
655,11,9,True,False,0,9
656,10,6,True,False,0,6
657,10,5,True,False,0,5
658,7,4,True,False,0,4
659,12,9,True,False,0,9
660,10,7,True,False,0,7
661,2,1,True,False,0,1
662,3,2,True,False,0,2
663,3,1,True,False,0,1
664,11,3,True,False,0,3
665,11,3,True,False,0,3
666,4,1,True,False,0,1
667,3,2,True,False,0,2
668,4,1,True,False,0,1
669,8,1,True,False,0,1
670,6,4,True,False,0,4
671,7,3,True,False,0,3
672,6,2,True,False,0,2
673,7,4,True,False,0,4
674,5,4,True,False,0,4
675,12,1,True,False,0,1
676,3,1,True,False,0,1
677,6,2,True,False,0,2
678,7,5,True,False,0,5
679,8,1,True,False,0,1
680,12,6,True,False,0,6
681,7,1,True,False,0,1
682,3,1,True,False,0,1
683,2,1,True,False,0,1
684,11,6,True,False,0,6
685,9,5,True,False,0,5
686,11,8,True,False,0,8
687,3,1,True,False,0,1
688,9,1,True,False,0,1
689,7,1,True,False,0,1
690,12,10,True,False,0,10
691,6,5,True,False,0,5
692,6,4,True,False,0,4
693,5,1,True,False,0,1
694,3,1,True,False,0,1
695,11,10,True,False,0,10
696,12,5,True,False,0,5
697,5,3,True,False,0,3
698,6,4,True,False,0,4
699,5,3,True,False,0,3
700,10,1,True,False,0,1
701,11,2,True,False,0,2
702,11,2,True,False,0,2
703,3,1,True,False,0,1
704,11,9,True,False,0,9
705,6,3,True,False,0,3
706,8,1,True,False,0,1
707,2,1,True,False,0,1
708,7,6,True,False,0,6
709,12,10,True,False,0,10
710,9,5,True,False,0,5
711,10,8,True,False,0,8
712,6,1,True,False,0,1
713,5,2,True,False,0,2
714,5,3,True,False,0,3
715,5,4,True,False,0,4
716,7,3,True,False,0,3
717,9,3,True,False,0,3
718,11,1,True,False,0,1
719,8,6,True,False,0,6
720,3,2,True,False,0,2
721,9,8,True,False,0,8
722,4,1,True,False,0,1
723,3,1,True,False,0,1
724,6,2,True,False,0,2
725,6,3,True,False,0,3
726,2,1,True,False,0,1
727,9,6,True,False,0,6
728,11,3,True,False,0,3
729,2,1,True,False,0,1
730,3,1,True,False,0,1
731,6,4,True,False,0,4
732,2,1,True,False,0,1
733,6,3,True,False,0,3
734,2,1,True,False,0,1
735,5,2,True,False,0,2
736,8,2,True,False,0,2
737,11,3,True,False,0,3
738,5,2,True,False,0,2
739,11,2,True,False,0,2
740,7,2,True,False,0,2
741,4,2,True,False,0,2
742,12,2,True,False,0,2
743,6,3,True,False,0,3
744,12,7,True,False,0,7
745,2,1,True,False,0,1
746,11,8,True,False,0,8
747,12,1,True,False,0,1
748,10,3,True,False,0,3
749,10,4,True,False,0,4
750,11,10,True,False,0,10
751,12,11,True,False,0,11
752,7,5,True,False,0,5
753,4,1,True,False,0,1
754,12,10,True,False,0,10
755,6,5,True,False,0,5
756,2,1,True,False,0,1
757,11,2,True,False,0,2
758,7,6,True,False,0,6
759,7,3,True,False,0,3
760,3,1,True,False,0,1
761,4,1,True,False,0,1
762,10,7,True,False,0,7
763,5,4,True,False,0,4
764,10,4,True,False,0,4
765,7,3,True,False,0,3
766,6,4,True,False,0,4
767,4,2,True,False,0,2
768,8,7,True,False,0,7
769,4,1,True,False,0,1
770,12,7,True,False,0,7
771,12,3,True,False,0,3
772,3,2,True,False,0,2
773,2,1,True,False,0,1
774,10,7,True,False,0,7
775,4,2,True,False,0,2
776,6,4,True,False,0,4
777,8,5,True,False,0,5
778,2,1,True,False,0,1
779,7,3,True,False,0,3
780,5,3,True,False,0,3
781,8,1,True,False,0,1
782,12,8,True,False,0,8
783,8,7,True,False,0,7
784,7,1,True,False,0,1
785,8,3,True,False,0,3
786,11,3,True,False,0,3
787,11,1,True,False,0,1
788,7,1,True,False,0,1
789,8,3,True,False,0,3
790,4,1,True,False,0,1
791,3,2,True,False,0,2
792,11,4,True,False,0,4
793,9,1,True,False,0,1
794,2,1,True,False,0,1
795,8,5,True,False,0,5
796,3,2,True,False,0,2
797,8,1,True,False,0,1
798,9,2,True,False,0,2
799,3,2,True,False,0,2
800,5,4,True,False,0,4
801,3,2,True,False,0,2
802,9,6,True,False,0,6
803,6,2,True,False,0,2
804,12,8,True,False,0,8
805,3,1,True,False,0,1
806,5,4,True,False,0,4
807,2,1,True,False,0,1
808,7,1,True,False,0,1
809,10,1,True,False,0,1
810,3,1,True,False,0,1
811,9,4,True,False,0,4
812,7,2,True,False,0,2
813,2,1,True,False,0,1
814,9,1,True,False,0,1
815,4,2,True,False,0,2
816,12,4,True,False,0,4
817,7,1,True,False,0,1
818,12,8,True,False,0,8
819,2,1,True,False,0,1
820,2,1,True,False,0,1
821,12,9,True,False,0,9
822,9,5,True,False,0,5
823,10,6,True,False,0,6
824,2,1,True,False,0,1
825,3,1,True,False,0,1
826,2,1,True,False,0,1
827,10,2,True,False,0,2
828,12,5,True,False,0,5
829,4,2,True,False,0,2
830,6,4,True,False,0,4
831,12,6,True,False,0,6
832,8,7,True,False,0,7
833,5,2,True,False,0,2
834,7,1,True,False,0,1
835,2,1,True,False,0,1
836,7,5,True,False,0,5
837,10,3,True,False,0,3
838,8,5,True,False,0,5
839,10,1,True,False,0,1
840,6,1,True,False,0,1
841,4,1,True,False,0,1
842,2,1,True,False,0,1
843,5,3,True,False,0,3
844,5,3,True,False,0,3
845,4,3,True,False,0,3
846,10,1,True,False,0,1
847,7,2,True,False,0,2
848,2,1,True,False,0,1
849,9,4,True,False,0,4
850,4,3,True,False,0,3
851,2,1,True,False,0,1
852,10,6,True,False,0,6
853,5,3,True,False,0,3
854,7,5,True,False,0,5
855,10,3,True,False,0,3
856,9,3,True,False,0,3
857,5,3,True,False,0,3
858,3,2,True,False,0,2
859,8,2,True,False,0,2
860,5,1,True,False,0,1
861,2,1,True,False,0,1
862,11,1,True,False,0,1
863,10,7,True,False,0,7
864,11,5,True,False,0,5
865,11,3,True,False,0,3
866,10,3,True,False,0,3
867,3,2,True,False,0,2
868,10,9,True,False,0,9
869,8,3,True,False,0,3
870,8,2,True,False,0,2
871,10,5,True,False,0,5
872,10,4,True,False,0,4
873,6,4,True,False,0,4
874,4,3,True,False,0,3
875,12,9,True,False,0,9
876,10,5,True,False,0,5
877,5,2,True,False,0,2
878,4,1,True,False,0,1
879,11,4,True,False,0,4
880,9,5,True,False,0,5
881,4,1,True,False,0,1
882,5,1,True,False,0,1
883,9,7,True,False,0,7
884,5,3,True,False,0,3
885,4,3,True,False,0,3
886,8,3,True,False,0,3
887,9,7,True,False,0,7
888,4,2,True,False,0,2
889,3,1,True,False,0,1
890,10,9,True,False,0,9
891,2,1,True,False,0,1
892,11,2,True,False,0,2
893,11,4,True,False,0,4
894,11,5,True,False,0,5
895,4,3,True,False,0,3
896,8,3,True,False,0,3
897,4,3,True,False,0,3
898,10,8,True,False,0,8
899,11,6,True,False,0,6
900,6,4,True,False,0,4
901,10,6,True,False,0,6
902,6,3,True,False,0,3
903,4,2,True,False,0,2
904,7,4,True,False,0,4
905,7,4,True,False,0,4
906,6,2,True,False,0,2
907,3,2,True,False,0,2
908,9,3,True,False,0,3
909,5,3,True,False,0,3
910,3,1,True,False,0,1
911,9,5,True,False,0,5
912,6,3,True,False,0,3
913,5,2,True,False,0,2
914,5,1,True,False,0,1
915,9,8,True,False,0,8
916,10,2,True,False,0,2
917,3,1,True,False,0,1
918,8,6,True,False,0,6
919,11,4,True,False,0,4
920,10,8,True,False,0,8
921,3,2,True,False,0,2
922,4,2,True,False,0,2
923,4,1,True,False,0,1
924,10,2,True,False,0,2
925,2,1,True,False,0,1
926,12,3,True,False,0,3
927,11,2,True,False,0,2
928,10,7,True,False,0,7
929,3,2,True,False,0,2
930,8,2,True,False,0,2
931,6,5,True,False,0,5
932,8,4,True,False,0,4
933,10,3,True,False,0,3
934,7,2,True,False,0,2
935,8,2,True,False,0,2
936,9,7,True,False,0,7
937,8,7,True,False,0,7
938,11,3,True,False,0,3
939,5,2,True,False,0,2
940,11,2,True,False,0,2
941,5,1,True,False,0,1
942,6,4,True,False,0,4
943,11,2,True,False,0,2
944,7,3,True,False,0,3
945,7,4,True,False,0,4
946,4,2,True,False,0,2
947,5,2,True,False,0,2
948,6,1,True,False,0,1
949,10,3,True,False,0,3
950,4,3,True,False,0,3
951,12,7,True,False,0,7
952,4,2,True,False,0,2
953,9,1,True,False,0,1
954,6,3,True,False,0,3
955,12,6,True,False,0,6
956,12,9,True,False,0,9
957,11,1,True,False,0,1
958,11,3,True,False,0,3
959,6,3,True,False,0,3
960,7,5,True,False,0,5
961,6,2,True,False,0,2
962,2,1,True,False,0,1
963,11,5,True,False,0,5
964,4,1,True,False,0,1
965,6,2,True,False,0,2
966,11,9,True,False,0,9
967,2,1,True,False,0,1
968,8,3,True,False,0,3
969,8,7,True,False,0,7
970,9,2,True,False,0,2
971,4,1,True,False,0,1
972,8,2,True,False,0,2
973,9,4,True,False,0,4
974,5,3,True,False,0,3
975,10,7,True,False,0,7
976,7,3,True,False,0,3
977,12,11,True,False,0,11
978,5,1,True,False,0,1
979,2,1,True,False,0,1
980,3,2,True,False,0,2
981,9,3,True,False,0,3
982,3,1,True,False,0,1
983,11,1,True,False,0,1
984,7,2,True,False,0,2
985,12,4,True,False,0,4
986,3,1,True,False,0,1
987,10,7,True,False,0,7
988,2,1,True,False,0,1
989,7,5,True,False,0,5
990,4,3,True,False,0,3
991,12,8,True,False,0,8
992,6,2,True,False,0,2
993,9,8,True,False,0,8
994,10,9,True,False,0,9
995,12,1,True,False,0,1
996,10,8,True,False,0,8
997,6,1,True,False,0,1
998,10,3,True,False,0,3
999,2,1,True,False,0,1
